id,device_id,tourist_id,lat,lng,speed_kmh,heart_rate_bpm,battery_pct,sos_pressed,fall_detected,timestamp
1,BAND-00005-9962,5,26.18434,91.751837,5.45,90.9,95.2,0,0,2026-09-03 07:36:49
2,BAND-00005-9962,5,26.182336,91.750661,6.15,98.1,94.9,0,0,2026-09-03 07:43:41
3,BAND-00005-9962,5,26.182096,91.750918,1.04,81.6,94.9,0,0,2026-09-03 08:33:41
4,BAND-00005-9962,5,26.184364,91.751931,4.08,86.2,94.6,0,0,2026-09-03 08:37:01
5,BAND-00005-9962,5,26.186205,91.752654,4.58,103.1,94.4,0,0,2026-09-03 08:43:41
6,BAND-00005-9962,5,26.186032,91.752865,0.11,62.6,94.0,0,0,2026-09-03 10:00:41
7,BAND-00005-9962,5,26.1856,91.752539,0.12,98.4,94.0,0,0,2026-09-03 13:25:41
8,BAND-00005-9962,5,26.185838,91.752935,0.27,111.8,93.7,0,0,2026-09-03 16:12:41
9,BAND-00005-9962,5,26.18607,91.752745,0.29,85.7,93.5,0,0,2026-09-03 19:02:41
10,BAND-00005-9962,5,26.18617,91.752492,0.15,177.6,93.4,0,0,2026-09-03 22:04:41
11,BAND-00005-9962,5,26.186208,91.752317,0.02,104.4,93.1,0,0,2026-09-04 00:52:41
12,BAND-00005-9962,5,26.186317,91.75239,0.4,94.8,92.8,0,0,2026-09-04 04:06:41
13,BAND-00005-9962,5,25.579034,91.892186,4.4,112.2,92.4,0,0,2026-09-04 10:09:46
14,BAND-00005-9962,5,25.578989,91.892397,0.56,81.2,92.4,0,0,2026-09-04 11:10:46
15,BAND-00005-9962,5,25.578602,91.892788,4.5,65.9,92.2,0,0,2026-09-04 11:22:48
16,BAND-00005-9962,5,25.578978,91.892617,6.39,105.0,92.1,0,0,2026-09-04 11:28:50
17,BAND-00005-9962,5,25.578759,91.892827,0.2,104.4,91.9,0,0,2026-09-04 11:58:50
18,BAND-00005-9962,5,25.57853,91.892434,0.12,74.7,91.7,0,0,2026-09-04 14:33:50
19,BAND-00005-9962,5,25.579223,91.89281,0.18,107.9,91.6,0,0,2026-09-04 17:52:50
20,BAND-00005-9962,5,25.579132,91.893043,0.13,75.8,91.5,0,0,2026-09-04 20:46:50
21,BAND-00005-9962,5,25.5786,91.89286,0.29,107.0,91.2,0,0,2026-09-04 23:52:50
22,BAND-00005-9962,5,25.578892,91.892498,0.16,102.9,90.9,0,0,2026-09-05 03:14:50
23,BAND-00005-9962,5,25.579117,91.892974,0.2,95.8,90.7,0,0,2026-09-05 06:06:50
24,BAND-00005-9962,5,25.275166,91.686129,3.23,107.2,90.5,0,0,2026-09-05 14:02:57
25,BAND-00005-9962,5,25.27531,91.685886,1.26,62.8,90.4,0,0,2026-09-05 14:29:57
26,BAND-00005-9962,5,25.27796,91.684772,3.36,82.8,90.1,0,0,2026-09-05 14:47:34
